City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Salalah,OM,2022-03-16 14:45:22,17.0151,54.0924,84.29,61,0,9.22
156,Cairns,AU,2022-03-16 14:45:22,-16.9167,145.7667,78.75,90,75,9.22
157,Ambon,ID,2022-03-16 14:45:22,-3.6954,128.1814,78.94,94,40,4.61
158,Kapaa,US,2022-03-16 14:45:23,22.0752,-159.319,67.98,94,0,8.05
159,Santa Ines,BR,2022-03-16 14:45:23,-3.6667,-45.38,76.98,85,100,0.89
160,Denizli,TR,2022-03-16 14:43:08,37.8402,29.0698,52.41,44,66,1.34
161,Kyenjojo,UG,2022-03-16 14:45:24,0.6328,30.6214,76.75,43,88,3.29
162,Marzuq,YE,2022-03-16 14:45:24,14.4,46.4667,72.95,41,3,12.37
163,Jingdezhen,CN,2022-03-16 14:45:24,29.2947,117.2079,71.58,84,100,1.57
164,Kirakira,SB,2022-03-16 14:45:25,-10.4544,161.9205,79.88,82,94,4.59
165,Oussouye,SN,2022-03-16 14:45:25,12.485,-16.5469,95.18,19,74,8.75
166,Leningradskiy,RU,2022-03-16 14:45:26,69.3833,178.4167,-15.56,97,50,8.55
167,Thinadhoo,MV,2022-03-16 14:45:11,0.5333,72.9333,84.56,71,100,11.27
168,Juneau,US,2022-03-16 14:42:33,58.3019,-134.4197,40.21,95,100,19.57
169,Lebu,CL,2022-03-16 14:45:26,-37.6167,-73.65,63.82,72,33,9.71
170,Laguna,US,2022-03-16 14:45:27,38.421,-121.4238,52.09,93,0,3.44
171,Cabo San Lucas,MX,2022-03-16 14:45:07,22.8909,-109.9124,73.51,37,15,4.29
172,Kalabo,ZM,2022-03-16 14:45:27,-14.97,22.6814,79.39,65,100,7.25
173,Yar-Sale,RU,2022-03-16 14:45:27,66.8333,70.8333,24.57,82,100,15.77
174,Margate,GB,2022-03-16 14:45:28,51.3813,1.3862,52.88,85,88,5.01
175,Verkhnyaya Inta,RU,2022-03-16 14:45:28,65.9811,60.3094,22.33,95,100,14.74
176,Praya,CV,2022-03-16 14:45:28,14.9215,-23.5087,77.54,47,40,25.32
177,Labytnangi,RU,2022-03-16 14:45:29,66.6572,66.4183,21.18,87,100,7.23
178,Airai,TL,2022-03-16 14:45:29,-8.9266,125.4092,60.64,93,94,1.63
179,Takaungu,KE,2022-03-16 14:45:29,-3.6837,39.8566,81.64,77,2,15.79
180,Beloha,MG,2022-03-16 14:45:30,-25.1667,45.05,79.57,66,40,10.69
181,Naze,JP,2022-03-16 14:44:48,28.3667,129.4833,67.12,91,87,5.91
182,Bani Walid,LY,2022-03-16 14:45:30,31.7566,13.9942,68.86,17,12,21.03
183,San Patricio,US,2022-03-16 14:45:31,28.017,-97.5169,67.93,53,0,6.06
184,Great Falls,US,2022-03-16 14:46:31,47.5002,-111.3008,38.66,60,0,12.66
185,Clinton,US,2022-03-16 14:46:32,42.587,-82.9199,44.28,76,27,5.68
186,Gushikawa,JP,2022-03-16 14:46:32,26.3544,127.8686,71.6,79,20,12.66
187,Caacupe,PY,2022-03-16 14:46:32,-25.3833,-57.15,81.09,37,5,2.24
188,Savalou,BJ,2022-03-16 14:46:33,7.9281,1.9756,100.08,28,96,1.28
189,Muros,ES,2022-03-16 14:46:33,42.7762,-9.0603,58.68,63,76,18.81
190,Plettenberg Bay,ZA,2022-03-16 14:46:34,-34.0527,23.3716,67.57,70,26,4.85
191,Moerai,PF,2022-03-16 14:46:34,-22.4333,-151.3333,80.94,74,15,18.66
192,Egvekinot,RU,2022-03-16 14:46:35,66.3167,-179.1667,-7.26,70,0,7.7
193,Mar Del Plata,AR,2022-03-16 14:41:50,-38.0023,-57.5575,77.02,77,0,18.99
194,Kolaras,IN,2022-03-16 14:46:35,25.2333,77.6,86.04,16,25,6.64
195,Krasnoselkup,RU,2022-03-16 14:46:35,65.7,82.4667,10.31,98,96,4.07
196,Tilichiki,RU,2022-03-16 14:46:36,60.4667,166.1,-4.92,92,7,6.55
197,Ola,RU,2022-03-16 14:46:36,59.5833,151.2833,10.31,86,100,5.41
198,Mahanoro,MG,2022-03-16 14:46:37,-19.9,48.8,79.36,83,34,4.97
199,Nizwa,OM,2022-03-16 14:46:37,22.9333,57.5333,85.37,15,3,7.07
200,Imbituba,BR,2022-03-16 14:46:37,-28.24,-48.6703,71.33,83,100,3.09
201,Kokopo,PG,2022-03-16 14:46:38,-4.352,152.2633,76.8,83,33,3.09
202,Santa Vitoria Do Palmar,BR,2022-03-16 14:46:38,-33.5189,-53.3681,77.5,65,23,5.84
203,Bondo,CD,2022-03-16 14:46:38,3.8146,23.6866,98.8,14,100,2.3
204,Itarema,BR,2022-03-16 14:46:39,-2.9248,-39.9167,82.8,73,98,3.06
205,Comodoro Rivadavia,AR,2022-03-16 14:43:16,-45.8667,-67.5,67.86,37,0,17.27
206,Slave Lake,CA,2022-03-16 14:46:39,55.2834,-114.769,37.38,65,0,18.41
207,Letterkenny,IE,2022-03-16 14:42:31,54.95,-7.7333,49.89,56,11,12.06
208,Narsaq,GL,2022-03-16 14:46:40,60.9167,-46.05,5.22,52,67,2.93
209,Okhotsk,RU,2022-03-16 14:46:40,59.3833,143.3,-4.09,97,58,6.98
210,Vyshkov,RU,2022-03-16 14:46:41,52.4764,31.6873,39.09,55,72,9.31
211,Kulhudhuffushi,MV,2022-03-16 14:46:41,6.6221,73.07,83.55,73,97,11.61
212,Alyangula,AU,2022-03-16 14:46:41,-13.8483,136.4192,76.87,100,60,2.3
213,Gao,ML,2022-03-16 14:46:42,16.6362,1.637,100.38,7,14,12.01
214,Asmar,AF,2022-03-16 14:46:42,35.0333,71.3581,71.02,39,0,7.96
215,Tasiilaq,GL,2022-03-16 14:46:43,65.6145,-37.6368,23.16,82,100,2.46
216,Kerrville,US,2022-03-16 14:46:43,30.0474,-99.1403,61.95,52,0,11.41
217,Huaiyuan,CN,2022-03-16 14:46:43,32.973,117.1995,56.1,86,100,22.86
218,Myitkyina,MM,2022-03-16 14:46:44,25.3833,97.4,76.01,36,0,1.79
219,Geraldton,AU,2022-03-16 14:46:44,-28.7667,114.6,64.81,77,0,6.91
220,Gidole,ET,2022-03-16 14:46:44,5.65,37.3667,78.37,27,67,8.93
221,Poum,NC,2022-03-16 14:46:45,-20.2333,164.0167,80.28,83,100,10.8
222,Manakara,MG,2022-03-16 14:46:45,-22.1333,48.0167,78.3,84,80,5.28
223,Eyl,SO,2022-03-16 14:46:46,7.9803,49.8164,78.19,67,56,12.37
224,Bonthe,SL,2022-03-16 14:46:46,7.5264,-12.505,84.16,66,74,11.21
